127.0.0.1 - - [17/Apr/2023:16:07:03 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Apr/2023:16:07:11 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [17/Apr/2023:16:07:14 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:16:07:14 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:16:07:15 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:30:38 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:30:40 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:30:40 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:32:17 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7808
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:32:21 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:32:21 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:20 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7821
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:21 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:21 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:25 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:25 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:28 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:28 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:31 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:31 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:33 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:33:33 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:36:31 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:36:35 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:36:35 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:36:38 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:36:38 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:37:09 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7750
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:37:11 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:37:11 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:37:14 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:37:14 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:37:31 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7750
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:37:32 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:37:32 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:38:29 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7752
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:38:30 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:38:30 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:38:48 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7752
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:38:49 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:38:49 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:38:56 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7752
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:38:57 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:38:57 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:42:02 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:42:02 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:42:17 +0700] "GET /Images/edit.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:42:17 +0700] "GET /Images/xoa.png HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:46:56 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7788
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:49:01 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 7785
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:53:12 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8425
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:57:10 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8551
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:57:28 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8551
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:59:15 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8664
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:59:37 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8663
0:0:0:0:0:0:0:1 - - [17/Apr/2023:22:59:47 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8663
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:00:23 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8664
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:00:32 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8664
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:04:18 +0700] "GET /StudentManage/main.jsp HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:04:23 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8663
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:04:36 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8663
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:05:40 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8779
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:05:56 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8779
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:06:44 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8816
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:06:53 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8816
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:06:56 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8816
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:07:10 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8654
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:07:13 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8654
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:07:19 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8663
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:07:26 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:07:31 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:07:33 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:07:36 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8663
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:08:17 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8809
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:09:03 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8790
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:11:20 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8822
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:11:28 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8822
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:11:37 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8826
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:12:24 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8655
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:12:25 +0700] "GET /StudentManage/students.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:12:27 +0700] "GET /StudentManage/students.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:12:38 +0700] "GET /StudentManage/students.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:12:41 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8658
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:12:42 +0700] "GET /StudentManage/students.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:20:06 +0700] "GET /StudentManage/students.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:20:11 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8657
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:37:27 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8653
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:37:29 +0700] "GET /MyServlet HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:37:51 +0700] "GET /StudentManage/MyServlet HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:38:13 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8667
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:38:14 +0700] "GET /StudentManage/MyServlet HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:40:08 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8668
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:40:13 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8668
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:40:25 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8533
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:40:36 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8533
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:40:38 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8533
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:40:46 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8653
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:40:47 +0700] "GET /MyServlet HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:41:12 +0700] "GET /MyServlet HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:41:15 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8815
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:41:29 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8778
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:41:31 +0700] "GET /MyServlet HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:41:49 +0700] "GET /MyServlet HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:41:55 +0700] "GET /MyServlet HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:42:03 +0700] "GET /StudentManage/courses.jsp HTTP/1.1" 200 8635
0:0:0:0:0:0:0:1 - - [17/Apr/2023:23:42:05 +0700] "GET /StudentManage/MyServlet HTTP/1.1" 200 13
